qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
14207,queries/tpch/SQLStorm/14207.sql,15.118513,237.09814453125,5,4,timeout
1424,queries/tpch/SQLStorm/1424.sql,15.108706,109.948974609375,6,6,timeout
1426,queries/tpch/SQLStorm/1426.sql,15.17789,81.1505126953125,7,5,timeout
14277,queries/tpch/SQLStorm/14277.sql,15.064747,91.24676513671875,4,3,timeout
14286,queries/tpch/SQLStorm/14286.sql,15.170254,181.706787109375,5,4,timeout
14289,queries/tpch/SQLStorm/14289.sql,15.069895,84.5594482421875,5,4,timeout
1429,queries/tpch/SQLStorm/1429.sql,15.061778,90.84741210937501,4,3,timeout
14300,queries/tpch/SQLStorm/14300.sql,15.064258,90.23724365234376,4,3,timeout
1432,queries/tpch/SQLStorm/1432.sql,15.069675,85.96234130859375,6,7,timeout
14330,queries/tpch/SQLStorm/14330.sql,15.082787,88.19830322265625,5,4,timeout
14348,queries/tpch/SQLStorm/14348.sql,15.065214,90.74725341796876,4,3,timeout
1435,queries/tpch/SQLStorm/1435.sql,15.101007,253.32482910156247,6,6,timeout
14369,queries/tpch/SQLStorm/14369.sql,15.118121,251.079833984375,7,6,timeout
14382,queries/tpch/SQLStorm/14382.sql,15.08854,96.5771484375,4,3,timeout
14396,queries/tpch/SQLStorm/14396.sql,15.161312,178.7303466796875,4,3,timeout
14449,queries/tpch/SQLStorm/14449.sql,15.064864,90.46527099609376,4,3,timeout
14472,queries/tpch/SQLStorm/14472.sql,15.087459,225.50537109375,6,5,timeout
14474,queries/tpch/SQLStorm/14474.sql,15.0853,88.74041748046875,5,4,timeout
14482,queries/tpch/SQLStorm/14482.sql,15.061986,86.11279296875,5,4,timeout
1449,queries/tpch/SQLStorm/1449.sql,0.058532,0.368896484375,7,6,error
1451,queries/tpch/SQLStorm/1451.sql,15.525744,91.43328857421875,6,7,timeout
14511,queries/tpch/SQLStorm/14511.sql,15.109485,129.0693359375,5,4,timeout
14575,queries/tpch/SQLStorm/14575.sql,15.086466,89.21215820312499,5,4,timeout
14603,queries/tpch/SQLStorm/14603.sql,15.248971,240.61639404296875,8,7,timeout
14626,queries/tpch/SQLStorm/14626.sql,15.106376,91.51885986328125,5,4,timeout
1465,queries/tpch/SQLStorm/1465.sql,15.266613,178.99395751953125,6,5,timeout
1466,queries/tpch/SQLStorm/1466.sql,15.065107,86.8270263671875,4,3,timeout
14666,queries/tpch/SQLStorm/14666.sql,15.234629,234.83087158203125,5,4,timeout
14705,queries/tpch/SQLStorm/14705.sql,15.082221,82.13946533203125,4,3,timeout
14729,queries/tpch/SQLStorm/14729.sql,15.099082,84.4254150390625,5,4,timeout
14739,queries/tpch/SQLStorm/14739.sql,15.088825,241.87957763671875,5,4,timeout
14764,queries/tpch/SQLStorm/14764.sql,15.069556,83.93646240234375,5,4,timeout
14768,queries/tpch/SQLStorm/14768.sql,15.061438,85.5579833984375,5,4,timeout
1481,queries/tpch/SQLStorm/1481.sql,15.117324,86.69671630859375,6,8,timeout
14811,queries/tpch/SQLStorm/14811.sql,15.275941,229.619384765625,3,2,timeout
